curriculum_year,major,semester,semester_code,code,name,sks,type,dingdong_url
2019,OTHER,,,MBKM01,Diginove,,Elective,
2019,OTHER,,,MBKM02,Bangkit Academy,20,Elective,
2019,STI,7,Ganjil,EL4125,Pengolahan Citra Digital,3,Elective,https://drive.google.com/drive/folders/1HiY_Dh02DMoBAwgt6FZiOnetGMKuTWfF?usp=drive_link
2019,STI,7,Ganjil,EL4126,Robotika,3,Elective,https://drive.google.com/drive/folders/1lkA72H1WY24zAqPTFxrsiH0Z5MdUj-2d?usp=drive_link
2019,STI,,,EL4127,Arsitektur dan Komputasi Paralel,3,Elective,https://drive.google.com/drive/folders/1YT5YLoW-g-w_E1UfTXTKMDdgAvCbs076?usp=drive_link
2019,STI,7,Ganjil,EP4072,SCADA dan Manajemen Energi,3,Elective,https://drive.google.com/drive/folders/1NifCGFhfz0aAI-G8zV3F-25QDtpP4T37?usp=drive_link
2019,STI,,,II1101,Komputasi dan Masyarakat,2,Elective,
2019,STI,7,Ganjil,II4021,Sistem Pendukung Pengambilan Keputusan,2,Elective,https://drive.google.com/drive/folders/1_cLV0TOuWRwacXAsaPDM_IpPzMPRBm1A?usp=drive_link
2019,STI,7,Ganjil,II4022,Audit Teknologi Informasi,2,Elective,https://drive.google.com/drive/folders/12_Q5_72zd6IglnjRHOIif_PTDlAyq2E9?usp=drive_link
2019,STI,7,Ganjil,II4031,Kriptografi dan Koding,2,Elective,https://drive.google.com/drive/folders/1kKoTlAvEz7mKp88ZItoIGZjriYHtqkGi?usp=drive_link
2019,STI,7,Ganjil,II4032,Analisis & Perancangan Kinerja Sistem,2,Elective,https://drive.google.com/drive/folders/19t3tHZ0bfJvbiW5Th9sh83l2_QFW0Fq9?usp=drive_link
2019,STI,7,Ganjil,II4033,Forensik Digital,2,Elective,https://drive.google.com/drive/folders/1il8VK1kvkPYM6SxONuhrRSheOK_x0M-8?usp=drive_link
2019,STI,7,Ganjil,II4034,Pemrosesan Bahasa Alami dan Ucapan,2,Elective,https://drive.google.com/drive/folders/1eiU2-UjR1YmDEZ6ckknwN1Hym2FtOM_2?usp=drive_link
2019,STI,7,Ganjil,II4035,Sistem Cerdas,2,Elective,https://drive.google.com/drive/folders/1Xmf9Au6WM0Yr_CsmXdzUznJYII4_6Z65?usp=drive_link
2019,STI,7,Ganjil,II4037,Internet of Things,2,Elective,https://drive.google.com/drive/folders/1IYzFQtvn1Ai4ItUIdM_6kCKDXweFq47f?usp=drive_link
2019,STI,7,Ganjil,II4038,Teknologi Komputasi Awan,2,Elective,https://drive.google.com/drive/folders/1mWgHRhFnbyHQdyYZr0_Txxiik1v9RTyx?usp=drive_link
2019,STI,7,Ganjil,II4039,Manajemen Produk,2,Elective,
2019,STI,7,Ganjil,II4041,Temu Balik Informasi Multimedia,3,Elective,
2019,STI,7,Ganjil,II4042,Kecerdasan Buatan untuk Bisnis,2,Elective,https://drive.google.com/drive/folders/1cHT1PJaCHybEPgFr5sNDVbuujEMRqsja?usp=drive_link
2019,STI,7,Ganjil,II4051,Rekayasa Sistem Multimedia,2,Elective,https://drive.google.com/drive/folders/1Mim5aUvuvKHZ16L3JkN9dIT8P8vj4HPn?usp=drive_link
2019,STI,7,Ganjil,II4062,Data Warehouse & Business Intelligence,2,Elective,https://drive.google.com/drive/folders/1BZYFfRCgH5qvcRnGeDoM-0o_DtSJXlnp?usp=drive_link
2019,STI,7,Ganjil,II4071,Keprofesian STI,2,Elective,https://drive.google.com/drive/folders/16nDJISUETrUkpoBG0QocbeFY3nf5Mm5z?usp=drive_link
2019,STI,7,Ganjil,II4072,Pengembangan Keprofesian/Komunitas STI A,2,Elective,
2019,STI,7,Ganjil,II4073,Pengembangan Keprofesian/Komunitas STI B,3,Elective,
2019,STI,7,Ganjil,II4074,Pengembangan Keprofesian/Komunitas STI C,4,Elective,
2019,STI,,,II4075,Pengembangan Soft Skill Terkait Bidang STI,2,Elective,
2019,STI,,,II4076,Inovasi dan Studi Mandiri Bidang STI,3,Elective,
2019,STI,,,II4077,Pengembangan Wirausaha Bidang STI,4,Elective,
2019,STI,,,II4078,Penelitian Bidang STI,4,Elective,
2019,STI,,,MR3002,Manajemen Teknologi,3,Elective,https://drive.google.com/drive/folders/1V8VxMpWc1q4XC4KuYnHwBPW0PWFzxOj0?usp=drive_link
2019,STI,,,TI3004,Ekonomi Teknik,2,Elective,https://drive.google.com/drive/folders/1EpB6UmxMsCOL5H9RE7qq3WuAgYa8E30U?usp=drive_link
2019,STI,3,Ganjil,IF2111,Algoritma dan Struktur Data STI,3,Mandatory,https://drive.google.com/drive/folders/1jziqg6Yv5X3q9aHO8PSD5qhkU7hxNWOP?usp=drive_link
2019,STI,3,Ganjil,IF2140,Pemodelan Basis Data,3,Mandatory,https://drive.google.com/drive/folders/1rarJIxFDhOi-deWo6dTkhpgW4_V0QZbM?usp=drive_link
2019,STI,4,Genap,IF2212,Pemrograman Berorientasi Objek STI,3,Mandatory,https://drive.google.com/drive/folders/1lCgW5hk6oMVMMEPpa6HL6Or32rz0fQSU?usp=drive_link
2019,STI,5,Ganjil,IF3152,Rekayasa Perangkat Lunak STI,3,Mandatory,https://drive.google.com/drive/folders/1ttf2TfrWa8UaEwc79XdejU88pIEFL4xM?usp=drive_link
2019,STI,3,Ganjil,II2110,Matematika STI,3,Mandatory,https://drive.google.com/drive/folders/1q7lfzSN--saoNGLmWB1ZMM0Ws77oQ6_I?usp=drive_link
2019,STI,3,Ganjil,II2111,Probabilitas dan Statistik,3,Mandatory,https://drive.google.com/drive/folders/1rA_nOnb07LkAvnMBXwucszhM6M8ae38J?usp=drive_link
2019,STI,3,Ganjil,II2130,Sistem dan Arsitektur Komputer,3,Mandatory,https://drive.google.com/drive/folders/1X6dUsS5ufgoMBnbTROi0TGMeXgaDspZu?usp=drive_link
2019,STI,4,Genap,II2220,Manajemen Sumber Daya STI,3,Mandatory,https://drive.google.com/drive/folders/1iOJITqitNJ3rIu8xQ6CmEe5u3a2tKeJi?usp=drive_link
2019,STI,6,Genap,II2221,Manajemen Proyek STI,3,Mandatory,https://drive.google.com/drive/folders/1wCQnMm-dtkdptlAYlHE-NH0yok5TAGfu?usp=drive_link
2019,STI,4,Genap,II2230,Jaringan Komputer,3,Mandatory,https://drive.google.com/drive/folders/1f9VqwVTOKp6MrWM45aZ6PmXaOM63Iivh?usp=drive_link
2019,STI,4,Genap,II2240,Analisis Kebutuhan Sistem,3,Mandatory,https://drive.google.com/drive/folders/1LCWPI29BayKR-AznR_gXDJ5fVjPHgJ8k?usp=drive_link
2019,STI,4,Genap,II2250,Manajemen Basis Data,2,Mandatory,https://drive.google.com/drive/folders/1F1tD854lAQU52PZ1PDhlLVCJiuz1TbVM?usp=drive_link
2019,STI,4,Genap,II2260,Sistem Embedded,3,Mandatory,https://drive.google.com/drive/folders/1wucdxPENEMRg11IQMlGbef797CHjLkFg?usp=drive_link
2019,STI,5,Ganjil,II3120,Layanan Sistem dan Teknologi Informasi,3,Mandatory,https://drive.google.com/drive/folders/15osA5WokJMwbIMfLhjJtQt0qpoEOQwzP?usp=drive_link
2019,STI,5,Ganjil,II3121,Analisis Kebutuhan Enterprise,3,Mandatory,https://drive.google.com/drive/folders/1JfN9Fk7I875q3EuwCas68nZq5e6vD-et?usp=drive_link
2019,STI,5,Ganjil,II3131,Interaksi Manusia Komputer,3,Mandatory,https://drive.google.com/drive/folders/1Ruh2zsEeGNoSmr4YRKU1vCtaCQ8mthb6?usp=drive_link
2019,STI,5,Ganjil,II3150,Sistem Multimedia,3,Mandatory,https://drive.google.com/drive/folders/1BSm-zf5ZPKafziKIxRMh9DOae1NYXZ97?usp=drive_link
2019,STI,5,Ganjil,II3160,Teknologi Sistem Terintegrasi,3,Mandatory,https://drive.google.com/drive/folders/1roRAFgv-JjishodimmSdaApSPGlz2q-4?usp=drive_link
2019,STI,6,Genap,II3220,Arsitektur Enterprise,3,Mandatory,https://drive.google.com/drive/folders/1uDRdnCxCC9Sn6QZzxFcIKZYPjTtlFsYG?usp=drive_link
2019,STI,6,Genap,II3230,Keamanan Informasi,3,Mandatory,https://drive.google.com/drive/folders/13UIdICQ0FIrvntmJP_JCAzGFwFzQsi42?usp=drive_link
2019,STI,6,Genap,II3240,Rekayasa Sistem dan Teknologi Informasi,3,Mandatory,https://drive.google.com/drive/folders/1Y5Eg_v0HCONiHompHpUdX0uwAIhZVquQ?usp=drive_link
2019,STI,6,Genap,II3260,Platform dan Pengembangan Aplikasi Mobile,3,Mandatory,https://drive.google.com/drive/folders/1NMuGjBWvlRjyzz-zsypbMihQG_xSKxVr?usp=drive_link
2019,STI,7,Ganjil,II4090,Kerja Praktek,2,Mandatory,https://drive.google.com/drive/folders/1IYaWGNmWJwIsQAAUpGnB8Ehlym_2Nsb-?usp=drive_link
2019,STI,7,Ganjil,II4091,Tugas Akhir 1 & Seminar,2,Mandatory,https://drive.google.com/drive/folders/1qZgYq8Lxa-jWOtnlyGF0fxHNREdciS46?usp=drive_link
2019,STI,8,Genap,II4092,Tugas Akhir 2,4,Mandatory,https://drive.google.com/drive/folders/1qZgYq8Lxa-jWOtnlyGF0fxHNREdciS46?usp=drive_link
2019,STI,7,Ganjil,II4370,Hukum & Etika Teknologi Informasi,2,Mandatory,https://drive.google.com/drive/folders/1gw6hT2RyPS0RwJ9at-YMmJRdR6x5Hk-P?usp=drive_link
2019,STI,7,Ganjil,II4371,Kapita Selekta STI,2,Mandatory,https://drive.google.com/drive/folders/10eapxKPvRKmiWv0RMehHX3Ey3oY0p6_J?usp=drive_link
2019,STI,8,Genap,II4472,Komunikasi Interpersonal,2,Mandatory,https://drive.google.com/drive/folders/1zOp1Y0Jzt99b1WVDLmK2wWeVohYLPd47?usp=drive_link
2019,STI,3,Ganjil,TI3005,Organisasi & Manajemen Perusahaan Industri,2,Mandatory,https://drive.google.com/drive/folders/1IRQ93srJugJt3wOZEU4rq4p4ZzaVK3tf?usp=drive_link
2019,OTHER,8,Genap,DP4202,Strategi Produk Kreatif,2,Elective,
2019,OTHER,8,Genap,ET4043,Infrastruktur Blockchain,2,Elective,
2019,OTHER,5,Ganjil,DP3111,Desain dan Faktor Manusia I,3,Elective,
2019,OTHER,5,Ganjil,KU4193,Metode Berpikir Kreatif,2,Elective,
2019,OTHER,5,Ganjil,KU4190,Manajemen Sumber Daya Manusia,2,Elective,
2019,OTHER,7,Ganjil,MB4042,Pasar Modal,3,Elective,
2019,OTHER,7,Ganjil,DP4004,Desain Produk Interaktif dan Servis,2,Elective,
2019,OTHER,7,Ganjil,MK3013,Pengembangan Produk Baru,3,Elective,
2019,OTHER,6,Genap,DK3216,Papan Permainan,3,Elective,
2019,OTHER,5,Ganjil,KU4281,Kontroversi Isu Sosial,2,Elective,
2019,OTHER,7,Ganjil,DI4004,Bisnis Desain Interior,2,Elective,
2019,OTHER,6,Genap,PL3001,Aspek Kebencanaan dalam Perencanaan,2,Elective,
2019,OTHER,7,Ganjil,PL4001,Pengantar Pariwisata,2,Elective,
2019,OTHER,7,Ganjil,DK4117,Komik,3,Elective,
2019,OTHER,5,Ganjil,KU4214,Jurnalisme Sains dan Teknologi,2,Elective,
2019,OTHER,5,Ganjil,KU4291,Manajemen Potensi Diri,2,Elective,
2019,OTHER,7,Ganjil,MB4041,Pemodelan dan Simulasi untuk Analisis Keputusan,3,Elective,
2019,OTHER,6,Genap,AS3002,Manajemen Institusi Astronomi,2,Elective,
2019,OTHER,8,Genap,KI4221,Kimia Forensik,3,Elective,
2019,OTHER,6,Genap,SR4205,Kajian Perempuan dalam Seni Rupa,2,Elective,
2019,OTHER,4,Genap,BI2209,Biologi Sel,3,Elective,
2019,OTHER,8,Genap,BM4203,Mikrobiologi Diagnostik,2,Elective,
